[  750883ms] [WARNING] The resource https://fonts.reown.com/KHTeka-Medium.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://web3tv2.dev/video/documentaries/visual-1781871913815-1o78?autoplay=true&list=:0
[  752982ms] [LOG] videojs-http-source-selector initialized! @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  752982ms] [LOG] player.techName_:Html5 @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  752982ms] [LOG] videojs-http-source-selector initialized! @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  752982ms] [LOG] player.techName_:Html5 @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  754314ms] [LOG] VIDEOJS: loadmetadata event @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  754314ms] [LOG] player.videojs_http_source_selector_initialized == false @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  754315ms] [LOG] VIDEOJS: loadmetadata event @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  754315ms] [LOG] player.videojs_http_source_selector_initialized == true @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  762773ms] [WARNING] The resource https://fonts.reown.com/KHTeka-Medium.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://web3tv2.dev/video/documentaries/visual-1782192689156-atmp?autoplay=true&list=:0
[  764888ms] [LOG] videojs-http-source-selector initialized! @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  764888ms] [LOG] player.techName_:Html5 @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  764888ms] [LOG] videojs-http-source-selector initialized! @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  764888ms] [LOG] player.techName_:Html5 @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  766415ms] [LOG] VIDEOJS: loadmetadata event @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  766415ms] [LOG] player.videojs_http_source_selector_initialized == false @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  766416ms] [LOG] VIDEOJS: loadmetadata event @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  766416ms] [LOG] player.videojs_http_source_selector_initialized == true @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  774936ms] [WARNING] The resource https://fonts.reown.com/KHTeka-Medium.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://web3tv2.dev/video/documentaries/video-1781675556149-g2n2?autoplay=true&list=:0
[  776979ms] [LOG] videojs-http-source-selector initialized! @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  776979ms] [LOG] player.techName_:Html5 @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  776979ms] [LOG] videojs-http-source-selector initialized! @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  776979ms] [LOG] player.techName_:Html5 @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  777749ms] [LOG] VIDEOJS: loadmetadata event @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  777749ms] [LOG] player.videojs_http_source_selector_initialized == false @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  777749ms] [LOG] VIDEOJS: loadmetadata event @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  777749ms] [LOG] player.videojs_http_source_selector_initialized == true @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  786233ms] [WARNING] The resource https://fonts.reown.com/KHTeka-Medium.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://web3tv2.dev/video/documentaries/visual-1781855910979-g4dx?autoplay=true&list=:0
[  788336ms] [LOG] videojs-http-source-selector initialized! @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  788336ms] [LOG] player.techName_:Html5 @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  788336ms] [LOG] videojs-http-source-selector initialized! @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  788336ms] [LOG] player.techName_:Html5 @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  789518ms] [LOG] VIDEOJS: loadmetadata event @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  789518ms] [LOG] player.videojs_http_source_selector_initialized == false @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  789520ms] [LOG] VIDEOJS: loadmetadata event @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  789520ms] [LOG] player.videojs_http_source_selector_initialized == true @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  805479ms] [WARNING] The resource https://fonts.reown.com/KHTeka-Medium.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://web3tv2.dev/video/documentaries/chapters-1781695903225-1h0z?autoplay=true&list=:0
[  911763ms] [WARNING] The resource https://fonts.reown.com/KHTeka-Medium.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://web3tv2.dev/video/documentaries/chapters-1781695903225-1h0z?autoplay=true&list=:0
[ 1031712ms] [WARNING] The resource https://fonts.reown.com/KHTeka-Medium.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://web3tv2.dev/video/documentaries/chapters-1781695903225-1h0z?autoplay=true&list=:0
[ 1151732ms] [WARNING] The resource https://fonts.reown.com/KHTeka-Medium.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://web3tv2.dev/video/documentaries/chapters-1781695903225-1h0z?autoplay=true&list=:0
[ 1271785ms] [WARNING] The resource https://fonts.reown.com/KHTeka-Medium.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://web3tv2.dev/video/documentaries/chapters-1781695903225-1h0z?autoplay=true&list=:0
